UserID,UUID,Version,TimeStemp,GyroscopeStat_x_MEAN,GyroscopeStat_z_MEAN,GyroscopeStat_COV_z_x,GyroscopeStat_COV_z_y,MagneticField_x_MEAN,MagneticField_z_MEAN,MagneticField_COV_z_x,MagneticField_COV_z_y,Pressure_MEAN,LinearAcceleration_COV_z_x,LinearAcceleration_COV_z_y,LinearAcceleration_x_MEAN,LinearAcceleration_z_MEAN,attack
97bb95f55a,1461851911390, 2.2, 2016-04-28 16:58:31.39,-0.010936446093434344,-0.009427321381313131,9.425836863782193e-08,5.093038191675809e-08,-4.121465968586389,-25.98031413612565,0.3550037475888672,0.5154241719481951,990.9843123809522,9.891196007247696e-07,2.787147683334544e-05,-3.0181542135000003,18.45327072,0
97bb95f55a,1461852031666, 2.2, 2016-04-28 17:00:31.666,-0.010845960365482231,-0.009208859659898478,3.084799634766069e-08,-5.743628753719168e-08,-4.14063829787234,-26.094574468085106,0.38597353510069377,0.784233211969507,991.0262742857144,-1.4110099662617013e-05,3.062798451447451e-06,-3.0111794639423075,18.449773168269235,0
97bb95f55a,1461852152558, 2.2, 2016-04-28 17:02:32.558,-0.010811358227272728,-0.009364104964646463,-5.0788506124002064e-08,4.289709439773721e-08,-3.708829787234043,-25.841489361702127,0.21906485379451607,0.3697215155307772,991.0470595238097,1.9336250663948568e-05,-4.495425577626412e-06,-3.0173929184615385,18.45229011282052,0
97bb95f55a,1461852272711, 2.2, 2016-04-28 17:04:32.711,-0.010886014335051548,-0.009411666342783506,2.7254410600682486e-08,2.1365554929851661e-07,-4.243085106382979,-26.097765957446807,0.3468133462282401,0.5677820343611334,991.02691,-2.076529361124528e-05,3.9121761478032265e-06,-3.0129307978947364,18.45071606315789,0
97bb95f55a,1461852393044, 2.2, 2016-04-28 17:06:33.044,-0.010781022602564102,-0.009325161141025641,8.501915685028834e-08,-1.761801197946102e-07,-3.6373404255319146,-25.672978723404256,0.033202616907498005,0.15732847878029368,991.0616942857145,-1.7738057973407367e-05,2.163937777477687e-05,-3.0178096571428568,18.450122525510203,0
97bb95f55a,1461852513088, 2.2, 2016-04-28 17:08:33.088,-0.010723931222222222,-0.009165040366161616,-1.978304333714526e-08,-1.1230858070899873e-07,-4.0629946524064176,-25.9151871657754,0.12806610315680522,0.26247531481800945,991.0068352380953,1.757003395557774e-05,-2.816644805588501e-05,-3.01532241,18.44801073,0
97bb95f55a,1461852633436, 2.2, 2016-04-28 17:10:33.436,-0.010785146689655172,-0.009290890224137932,6.826735235374321e-09,-1.328321357943945e-07,-3.8536507936507927,-25.87206349206349,0.2467216818642351,0.3928337386018239,991.0450952380952,2.0612389651640182e-06,-2.7626641850008386e-07,-3.0150279766169152,18.452666716417912,0
97bb95f55a,1461852754108, 2.2, 2016-04-28 17:12:34.108,-0.010929147691256831,-0.00927595031147541,6.865848718246473e-08,-1.0520243221981804e-07,-3.97292817679558,-26.044640883977905,0.3584796685082873,0.6103022099447517,991.0382694736842,7.892641881705155e-06,-2.8378705301681982e-05,-3.044116475,18.447457927777773,0
97bb95f55a,1461852874265, 2.2, 2016-04-28 17:14:34.265,-0.010864091582914574,-0.009638234386934674,-1.7254963428981748e-08,-7.046347207136559e-08,-3.9673404255319142,-26.25191489361702,0.7252511093412223,1.3342991011491638,991.0182885714287,-2.0446219119900322e-05,-1.0456222475319716e-05,-3.053216791959799,18.44780602512563,0
97bb95f55a,1461852995153, 2.2, 2016-04-28 17:16:35.153,-0.010917587953608249,-0.009413039097938143,2.6953248451586222e-08,-1.654623821224114e-08,-3.3070212765957447,-25.90372340425532,0.1432485834565935,0.19930540448287612,991.0355976190477,-8.938694093330662e-06,2.4917717413960547e-06,-3.0524049861538463,18.44856326153846,0
